what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664262933
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664294943
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1457664297172
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1457664307515
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1457664309356
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1457664311381
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1457664315228
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1457664324177
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1457664325290
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664326384
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664340653
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1457664363480
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1457664365373
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1457664369703
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1457664372224
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1457664431263
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1457664448971
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1457664450609
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1457664454228
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664459475
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664459484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664459528
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664461762
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1457664480386
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664512738
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664534429
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1457664538737
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ResourceNavigator",1457664552285
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1457664587135
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1457664592100
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1457664599714
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664601143
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664618067
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1457664642688
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664644671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664671327
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1457664675481
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1457664686575
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1457664693013
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ResourceNavigator",1457664707561
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1457664711014
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1457664726843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1457664729672
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1457664730625
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1457664745641
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664747141
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664749391
error,log,,,"Several ports (8080, 8009) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1457664754579
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664754657
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664756719
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664758298
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664781844
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1457664816825
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664828337
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664828346
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664828384
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664830884
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664851667
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457664897548
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1457665134671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457665256778
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457665259325
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1457665259512
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457665261608
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457665264062
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1457665267216
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1457665267279
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1457665304603
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1457665307556
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1457665309385
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457665309947
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457665312228
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ResourceNavigator",1457665333211
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1457665334196
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1457665334399
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1457665334571
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1457665334758
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1457665334915
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1457665335086
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1457665335211
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1457665335383
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1457665335508
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457665337930
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457665350025
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457665599865
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457665610894
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1457665611159
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457665612487
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1457665614534
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1457665614691
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1457665614769
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1457665624271
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1457665634553
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ResourceNavigator",1457665638652
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1457665642590
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1457665642761
